left_city,right_city,left_column,right_column,lexical_jaccard,exact_match
chicago,sf,unnamed_0,police_department_incident_id,0.0,0
chicago,sf,unnamed_0,incidntnum,0.0,0
chicago,sf,unnamed_0,incident_code,0.0,0
chicago,sf,unnamed_0,category,0.0,0
chicago,sf,unnamed_0,descript,0.0,0
chicago,sf,unnamed_0,dayofweek,0.0,0
chicago,sf,unnamed_0,date,0.0,0
chicago,sf,unnamed_0,time,0.0,0
chicago,sf,unnamed_0,pddistrict,0.0,0
chicago,sf,unnamed_0,resolution,0.0,0
chicago,sf,unnamed_0,address,0.0,0
chicago,sf,unnamed_0,x,0.0,0
chicago,sf,unnamed_0,y,0.0,0
chicago,sf,unnamed_0,location,0.0,0
chicago,sf,unnamed_0,sf_find_neighborhoods_2_2,0.0,0
chicago,sf,unnamed_0,current_police_districts_2_2,0.0,0
chicago,sf,unnamed_0,current_supervisor_districts_2_2,0.0,0
chicago,sf,unnamed_0,analysis_neighborhoods_2_2,0.0,0
chicago,sf,unnamed_0,delete_fire_prevention_districts_2_2,0.0,0
chicago,sf,unnamed_0,delete_police_districts_2_2,0.0,0
chicago,sf,unnamed_0,delete_supervisor_districts_2_2,0.0,0
chicago,sf,unnamed_0,delete_zip_codes_2_2,0.0,0
chicago,sf,unnamed_0,delete_neighborhoods_2_2,0.0,0
chicago,sf,unnamed_0,delete_2017_fix_it_zones_2_2,0.0,0
chicago,sf,unnamed_0,civic_center_harm_reduction_project_boundary_2_2,0.0,0
chicago,sf,unnamed_0,fix_it_zones_as_of_2017_11_06_2_2,0.0,0
chicago,sf,unnamed_0,delete_hsoc_zones_2_2,0.0,0
chicago,sf,unnamed_0,fix_it_zones_as_of_2018_02_07_2_2,0.0,0
chicago,sf,unnamed_0,cbd_bid_and_gbd_boundaries_as_of_2017_2_2,0.0,0
chicago,sf,unnamed_0,areas_of_vulnerability_2016_2_2,0.0,0
chicago,sf,unnamed_0,central_market_tenderloin_boundary_2_2,0.0,0
